Startup,LinkedIn,Website,Raised to Date,Date of latest funding,Query,URL
Agora,https://www.linkedin.com/in/tozhao,"https://worldatwork.org/workwithus/hrvendordirectory/agora#:~:text=Simplify%20your%20compensation%20practices%20and,boost%20employee%20hiring%20and%20retention!",Seed,Seed,,
Grata,https://www.linkedin.com/in/nevin-raj-22307735,https://grata.com/,,Seed,,
Capchase,https://www.linkedin.com/in/miguelfernandezlarrea,https://www.capchase.com/,https://www.crunchbase.com/organization/capchase,,,
Opus,https://www.linkedin.com/in/yzopus,https://www.opus.so/,Seed,"May 24, 2023",,
Veho,https://www.linkedin.com/in/itamarzur,https://www.shipveho.com/,https://www.crunchbase.com/organization/shippo/company_overview/overview_timeline,,,
Ravacan,https://www.linkedin.com/in/aslebloas/es,https://ravacan.com/,Pre-seed,Pre-Seed,,
Kolors,https://www.linkedin.com/in/rmartinezv,"https://techcrunch.com/2022/06/03/mexico-citys-kolors-wants-to-disrupt-intercity-busing-in-latin-america/#:~:text=Like%20Uber%20and%20other%20ride,are%20already%20running%20scheduled%20services.",,Pre-Seed,,
Companion,https://uk.linkedin.com/in/lkao,https://companionhome.com/,,Pre-Seed,,
Hellometer,https://www.linkedin.com/in/alexanderpopper,https://hellometer.io/,,Pre-Seed,,
inFeedo,https://www.linkedin.com/in/tanmayajain,"https://deepgram.com/ai-apps/amber-by-infeedo#:~:text=Overview,questions%2C%20and%20helps%20find%20solutions.",,Pre-Seed,,
HomePace,https://www.linkedin.com/in/jcianciolo,https://builtworlds.com/companies/homepace/,Series a,Series A,,
SilverTree,https://www.linkedin.com/in/dan-jose,https://silvertree.io/,,Series A,,
GoodTrust,https://www.linkedin.com/in/rikardsteiber,https://mygoodtrust.com/wgs,Seed,"Dec 20, 2021",,
Tempo,https://www.linkedin.com/in/moawiaeldeeb,https://tempo.fit/,https://news.crunchbase.com/startups/tempo-lands-17-5m-series-a-for-ai-powered-home-workouts/,,,
Bainbridge,https://uk.linkedin.com/in/alexbainbridge,https://bainbridge.com/v2/,,,,
Prive,https://www.linkedin.com/in/craciunalex,https://www.tryprive.com/pricing,https://www.crunchbase.com/organization/prive-technologies,,,
Ignition,https://www.linkedin.com/in/derekosgood3,https://www.haveignition.com/,Seed,"Oct 25, 2023",,
Modal Learning,https://www.linkedin.com/in/dennistyang,https://www.modallearning.com/,https://www.crunchbase.com/organization/modal-technology,,,
